"Saison","Championnat","Joueur","Équipe","Place","Âge","Valeur.marchande","Contrat.expiration","Pays.de.naissance","Passeport.pays","Pied","Prêté","Taille","Poids","Matchs.joués","Minutes.jouées","Expected.Goal","Buts.par.90.min","G.XG","Taux.de.conversion.but.tir","Buts.de.la.tête.sur.90.min","Touches.de.balle.dans.la.surface.de.réparation.sur.90.min","Buts.hors.penalty.par.90","penalty.par.90.min","Tirs.cadrés","Dribbles.par.90.min","Dribbles.réussis","PCT_Dribbles.réussis","Efficacité.Buts","Duels.offensifs.par.90.min","Duels.offensifs.réussis","PCT_Duels.offensifs.réussis","Centres","Centres.réussis","PCT_Centres.réussis","Courses.progressives.par.90.min","Possession.ajustée","Duels.aériens.par.90.min","Duels.aériens.réussis","PCT_Duels.aériens.réussis","PAdj.Sliding.tackles","Succ..déf..sur.90","Duels.defensifs.par.90.min","Duels.defensifs.réussis","PCT_Duels.defensifs.réussis","Tacles.glissés.sur.90.min","Fautes.par.90.min","Cartons.jaunes.par.90.min","Cartons.rouges.par.90.min","Tirs.bloqués.par.90","Interceptions..sur.90.min","PAdj.Interceptions","Longueur.moyenne.de.passe.longue.en.m","Passes.par.90.min","Passes.réussies","PCT_Passes.réussies","Passes.avant.par.90","Passes.avant.réussies","PCT_Passes.avant.réussies","PCT_Passes.avant","Passes.arrière.par.90","Passes.arrière.réussies","PCT_Passes.arrière.réussies","PCT_Passes.arrière","Passes.latérales.par.90","Passes.latérales.réussies","PCT_Passes.latérales.réussies","PCT_Passes.latérales","PCT_Passes.longues.réussies","Passe.moyenne.longueur..m","Lng.passes.par.90","Passes.décisives.par.90.min","Passes.quasi.décisives.par.90","Réalisations.en.profondeur.par.90","Expected.Pass.D","Secondes.passes.décisives.par.90","Troisièmes.passes.décisives.par.90","Passes.judicieuses.par.90","Passes.judicieuses.réussies","PCT_Passes.judicieuses.réussies","Passes.der.tiers","Passes.der.tiers.réussies","PCT_Passes.der.tiers.réussies","Passes.surface.réparation","Passes.surface.réparation.réussies","PCT_Passes.surface.réparation.réussies","PCT_Passes.surface.réparation","Passes.profondeur","Passes.profondeur.réussies","PCT_Passes.profondeur.réussies","PCT_Passes.profondeur","Passes.progressives.par.90","Passes.progressives.réussies","PCT_Passes.progressives.réussies","PCT_Passes.progressives","milieu_def","Poste","note","vingtile_Expected.Goal","vingtile_Buts.par.90.min","vingtile_G.XG","vingtile_Taux.de.conversion.but.tir","vingtile_Buts.de.la.tête.sur.90.min","vingtile_Touches.de.balle.dans.la.surface.de.réparation.sur.90.min","vingtile_Buts.hors.penalty.par.90","vingtile_penalty.par.90.min","vingtile_Tirs.cadrés","vingtile_Dribbles.par.90.min","vingtile_Dribbles.réussis","vingtile_PCT_Dribbles.réussis","vingtile_Efficacité.Buts","vingtile_Duels.offensifs.par.90.min","vingtile_Duels.offensifs.réussis","vingtile_PCT_Duels.offensifs.réussis","vingtile_Centres","vingtile_Centres.réussis","vingtile_PCT_Centres.réussis","vingtile_Courses.progressives.par.90.min","vingtile_Possession.ajustée","vingtile_Duels.aériens.par.90.min","vingtile_Duels.aériens.réussis","vingtile_PCT_Duels.aériens.réussis","vingtile_PAdj.Sliding.tackles","vingtile_Succ..déf..sur.90","vingtile_Duels.defensifs.par.90.min","vingtile_Duels.defensifs.réussis","vingtile_PCT_Duels.defensifs.réussis","vingtile_Tacles.glissés.sur.90.min","vingtile_Fautes.par.90.min","vingtile_Cartons.jaunes.par.90.min","vingtile_Cartons.rouges.par.90.min","vingtile_Tirs.bloqués.par.90","vingtile_Interceptions..sur.90.min","vingtile_PAdj.Interceptions","vingtile_Longueur.moyenne.de.passe.longue.en.m","vingtile_Passes.par.90.min","vingtile_Passes.réussies","vingtile_PCT_Passes.réussies","vingtile_Passes.avant.par.90","vingtile_Passes.avant.réussies","vingtile_PCT_Passes.avant.réussies","vingtile_PCT_Passes.avant","vingtile_Passes.arrière.par.90","vingtile_Passes.arrière.réussies","vingtile_PCT_Passes.arrière.réussies","vingtile_PCT_Passes.arrière","vingtile_Passes.latérales.par.90","vingtile_Passes.latérales.réussies","vingtile_PCT_Passes.latérales.réussies","vingtile_PCT_Passes.latérales","vingtile_PCT_Passes.longues.réussies","vingtile_Passe.moyenne.longueur..m","vingtile_Lng.passes.par.90","vingtile_Passes.décisives.par.90.min","vingtile_Passes.quasi.décisives.par.90","vingtile_Réalisations.en.profondeur.par.90","vingtile_Expected.Pass.D","vingtile_Secondes.passes.décisives.par.90","vingtile_Troisièmes.passes.décisives.par.90","vingtile_Passes.judicieuses.par.90","vingtile_Passes.judicieuses.réussies","vingtile_PCT_Passes.judicieuses.réussies","vingtile_Passes.der.tiers","vingtile_Passes.der.tiers.réussies","vingtile_PCT_Passes.der.tiers.réussies","vingtile_Passes.surface.réparation","vingtile_Passes.surface.réparation.réussies","vingtile_PCT_Passes.surface.réparation.réussies","vingtile_PCT_Passes.surface.réparation","vingtile_Passes.profondeur","vingtile_Passes.profondeur.réussies","vingtile_PCT_Passes.profondeur.réussies","vingtile_PCT_Passes.profondeur","vingtile_Passes.progressives.par.90","vingtile_Passes.progressives.réussies","vingtile_PCT_Passes.progressives.réussies","vingtile_PCT_Passes.progressives","vingtile_note"
"2025/2026","Ligue 2 - J14","A. Mendy","Montpellier","CF",31,4000000,"2028-06-30","France","France, Guinea-Bissau","droite","non",184,86,14,1338,0.316816143497758,0.27,0.852229299363057,14.286,0,3.57,0.27,0,0.604232,1.95,1.075815,55.17,0.849256900212314,9.75,2.7573,28.28,0.47,0.067163,25,0.47,1.40740740740741,5.25,2.5578,48.72,0.38,1.55,1.61,0.60375,37.5,0.27,1.35,0.13,0,0.13,0.67,0.96,15.59,11.03,8.2725,75,1.75,1.07695,61.54,0.158658204895739,2.89,2.486845,86.05,0.262012692656392,3.83,2.889352,75.44,0.347234814143246,50,14.86,0.54,0.07,0.2,0.67,0.08,0.13,0,0,0,0,1.01,0.673367,66.67,0.54,0.405,75,0.0489573889392566,0.67,0.000469,0.07,0.0607434270172258,0.61,0.406687,66.67,0.0553037171350861,FALSE,"Avant Centre",6.75766810869318,17,16,10,14,7,17,16,9,14,10,10,10,10,15,11,2,6,4,3,3,13,17,17,12,11,0,0,0,0,11,13,7,8,9,0,0,3,0,0,6,0,0,5,1,3,2,2,17,1,1,5,12,8,2,1,11,8,11,11,18,7,2,4,4,1,1,10,3,6,20,9,11,6,4,19,0,0,6,0,5
"2025/2026","National 1 - J13","F. El Khoumisti","Orléans","CF",32,400000,"2026-06-30","France","France, Morocco","droite","non",180,75,13,1231,0.454021121039805,0.58,1.27747360887458,17.021,0,4.39,0.51,0.07,1.46372,0.95,0.438425,46.15,1.28824476650564,3.22,1.097698,34.09,0.66,0.366696,55.56,1.1,0,1.46,0.438,30,0,3.14,2.41,1.460701,60.61,0,0.44,0,0,0.07,1.68,2.13,24.82,23.4,17.62254,75.31,5.48,3.215116,58.67,0.234188034188034,6.14,5.701604,92.86,0.262393162393162,7.24,5.338776,73.74,0.309401709401709,53.33,16.08,1.1,0.07,0.44,0.73,0.09,0,0.22,0.15,0,0,3.29,1.754557,53.33,1.61,0.878255,54.55,0.0688034188034188,0.73,0.002701,0.37,0.0311965811965812,2.05,1.39113,67.86,0.0876068376068376,FALSE,"Avant Centre",7.0336173464782,19,19,14,15,7,19,19,18,19,6,5,5,15,5,4,4,7,10,19,9,1,3,3,4,1,1,1,1,10,1,1,1,8,6,3,2,7,4,4,6,4,4,3,4,13,13,9,17,5,5,5,8,11,4,4,11,14,12,12,6,20,9,4,4,7,6,3,9,11,15,12,12,11,11,14,2,2,6,1,14
"2025/2026","Ligue 2 - J14","L. Mafouta","Guingamp","CF",31,1500000,"2026-06-30","France","France, Central African Republic","droite","non",181,80,14,1215,0.301481481481482,0.37,1.22727272727273,22.727,0.07,2.74,0.37,0,0.666833,0.81,0.294516,36.36,1.22850122850123,6,1.6296,27.16,0.59,0.4425,75,0.37,1.42857142857143,3.78,1.03761,27.45,0.1,2.07,1.33,0.886711,66.67,0.07,0.89,0.07,0,0,1.11,1.48,7.3,15.04,12.07712,80.3,2.15,1.186155,55.17,0.142952127659574,5.04,4.743648,94.12,0.335106382978723,4.37,3.703575,84.75,0.290558510638298,75,14.31,0.3,0,0.3,0.15,0.02,0.07,0,0,0,0,0.96,0.664608,69.23,0.52,0.297128,57.14,0.0345744680851064,0.15,0.00045,0.3,0.00997340425531915,1.26,0.741132,58.82,0.0837765957446809,FALSE,"Avant Centre",6.59282863545096,17,17,14,18,17,15,18,9,14,5,3,2,14,10,6,1,7,12,20,2,14,14,9,3,4,0,0,0,15,4,7,4,8,2,1,1,1,1,2,11,0,0,2,0,9,10,11,19,1,2,11,6,20,1,1,4,11,2,5,15,7,2,4,4,1,1,12,2,4,16,6,2,6,9,6,1,1,2,1,1
"2025/2026","Ligue 2 - J14","A. Hemia","Guingamp","CF",27,600000,"2027-06-30","France","France, Algeria","droite","non",178,70,13,1175,0.130212765957447,0.23,1.76633986928105,11.111,0,1.38,0.23,0,0.766728,0.69,0.383364,55.56,1.76470588235294,6.59,2.605027,39.53,1.91,0.5348,28,1.61,1.33333333333333,1,0.5385,53.85,0.2,5.59,4.67,2.832822,60.66,0.15,1.23,0.23,0,0,2.6,3.4,35.94,39.75,32.702325,82.27,9.73,6.66505,68.5,0.244779874213836,8.5,8.194,96.4,0.213836477987421,15.47,13.172705,85.15,0.389182389937107,56.14,20.02,4.37,0.31,0.54,0.61,0.14,0.08,0,0,0,0,6.2,4.66922,75.31,2.53,1.073226,42.42,0.0636477987421384,0.61,0.004209,0.69,0.0153459119496855,6.59,4.597843,69.77,0.165786163522013,FALSE,"Avant Centre",6.9863321965124,12,15,17,11,7,10,15,9,15,4,4,10,17,11,11,8,14,13,8,13,10,1,4,15,7,6,6,6,10,7,12,14,8,2,7,6,15,14,14,13,8,9,10,5,18,18,16,13,15,14,11,15,13,14,14,19,16,10,16,16,7,2,4,4,15,17,16,14,13,8,11,10,13,15,9,12,12,8,11,13
"2025/2026","Ligue 2 - J14","T. Averlant","Amiens SC","CF, RW, RAMF",26,0,"2028-06-30","France","France","droite","non",178,0,14,1084,0.517250922509225,0.17,0.328660602817906,8.333,0,3.24,0.17,0,1.24375,3.57,1.494402,41.86,0.321027287319422,7.22,2.987636,41.38,1.91,0.498319,26.09,1.99,1.16,2.66,1.49625,56.25,0.29,4.82,4.4,2.73944,62.26,0.25,0.91,0.17,0,0.17,1.83,2.14,10.34,14.86,10.128576,68.16,3.74,2.493458,66.67,0.251682368775236,2.91,2.411226,82.86,0.195827725437416,4.65,3.15549,67.86,0.312920592193809,54.55,17.2,0.91,0.08,0.42,0.5,0.11,0,0,0.17,0.17,100,1.16,0.994236,85.71,1.83,0.915,50,0.123149394347241,0.5,0.0029,0.58,0.0336473755047106,3.07,2.074399,67.57,0.206594885598923,FALSE,"Avant Centre",6.6829699616518,19,13,6,9,7,16,14,9,19,15,13,3,6,12,12,9,14,12,7,15,4,9,12,16,9,4,5,6,11,10,7,10,8,10,4,2,1,1,1,1,2,2,8,5,3,2,1,12,2,2,2,8,12,6,3,11,14,9,14,6,7,9,15,19,1,2,19,11,11,12,18,9,12,13,14,4,4,6,16,3
"2025/2026","National 1 - J13","K. Djoco","Sochaux","CF",30,600000,"2026-06-30","France","France, Senegal","droite","non",186,80,13,1071,0.311764705882353,0.25,0.80188679245283,16.667,0,2.52,0.25,0,0.335522,1.51,0.838956,55.56,0.808625336927224,7.23,2.606415,36.05,0.59,0.084311,25,0.84,0,6.05,2.85681,47.22,0,1.68,1.76,0.502832,28.57,0,2.44,0,0,0.17,1.18,1.53,19.04,12.69,9.244665,72.85,2.02,1.178266,58.33,0.159180457052797,4.37,3.781798,86.54,0.344365642237983,2.86,1.93479,67.65,0.225374310480693,25,13.92,0.42,0,0.17,0.34,0.01,0,0,0,0,0,1.01,0.673367,66.67,0.42,0.252,60,0.033096926713948,0.34,0,0,0.0267927501970055,1.34,0.58625,43.75,0.105594956658786,FALSE,"Avant Centre",6.6043905689354,17,15,9,15,7,14,16,9,10,8,9,10,10,12,11,5,7,4,3,7,1,18,17,12,1,0,0,0,0,1,19,1,8,10,1,1,4,0,0,4,0,0,3,1,7,6,2,20,0,0,2,1,0,1,1,4,7,6,3,6,7,2,4,4,1,1,10,2,4,17,6,6,2,1,13,1,0,0,3,2
"2025/2026","Ligue 2 - J14","D. Durand","Red Star","CF, LWF",30,400000,"2026-06-30","France","France","droite","non",173,65,14,1054,0.296299810246679,0.6,2.02497598463016,28,0,3.16,0.51,0.09,0.852,3.24,1.875636,57.89,2.01729106628242,6.06,2.731242,45.07,1.79,0.596607,33.33,2.13,0,0.51,0,25,0,2.65,2.05,1.366735,66.67,0,0.17,0,0,0.17,1.28,1.88,15.54,19.47,15.883626,81.58,4.1,2.81875,68.75,0.210580380071905,7.26,7.003722,96.47,0.372881355932203,6.23,4.779033,76.71,0.319979455572676,50,18.74,0.68,0,0.09,0.68,0.03,0.17,0,0,0,0,1.2,0.77148,64.29,1.96,0.766948,39.13,0.100667693888033,0.68,0.004624,0.68,0.0349255264509502,2.39,2.048469,85.71,0.122752953261428,FALSE,"Avant Centre",6.9183728958912,17,19,18,19,7,16,19,18,16,14,15,12,18,10,11,12,13,13,11,16,1,0,0,1,1,1,0,1,15,1,0,1,8,10,1,2,3,3,3,12,2,3,10,3,16,16,16,20,4,4,6,9,8,11,2,4,5,11,6,19,7,2,4,4,1,1,8,11,10,6,16,11,14,14,15,3,4,19,4,10
"2025/2026","Ligue 2 - J14","J. Ikanga","Red Star","CF, RWF",23,250000,"2026-06-30","France","France, Congo DR","droite","non",179,83,13,990,0.132727272727273,0.27,2.03424657534247,16.667,0,2.73,0.27,0,0.546612,5.18,3.08987,59.65,2.05479452054795,13.73,5.456302,39.74,2,0.4546,25,1.91,1.44444444444444,4.91,1.181837,25,0.13,3.91,5.09,2.363287,46.43,0.09,2.27,0.18,0,0,1.45,2.08,16.69,15.27,9.725463,63.69,2.82,1.273512,45.16,0.18467583497053,4.73,3.729605,78.85,0.309757694826457,3.73,2.456205,65.85,0.244269810085134,50,17.61,0.55,0.09,0.36,0.27,0.04,0.09,0.09,0.09,0.09,100,0.91,0.637,70,1.36,0.634712,46.67,0.0890635232481991,0.27,0.000972,0.36,0.0176817288801572,1,0.8182,81.82,0.0654878847413229,FALSE,"Avant Centre",6.78630224937086,12,16,18,15,7,15,16,9,13,17,18,13,18,18,18,8,14,12,3,15,14,16,10,1,5,3,8,4,1,5,19,11,8,2,2,2,3,1,1,0,1,0,0,2,8,6,0,19,1,1,2,2,8,8,1,12,13,5,7,17,18,6,11,19,1,1,13,8,8,10,15,5,8,10,10,0,1,17,0,6
"2025/2026","National 1 - J13","K. Mixtur","Villefranche","CF, RW",22,0,"2026-06-30","Guadeloupe","Guadeloupe","droite","non",0,0,13,987,0.158662613981763,0.18,1.13448275862069,20,0,2.74,0.18,0,0.182,1.91,1.000458,52.38,1.14942528735632,6.57,1.733823,26.39,1,0.0909,25,0.55,0,6.2,1.91456,30.88,0,3.92,2.74,1.826758,66.67,0,0.64,0,0,0,2.1,3.03,9.74,16.87,13.313804,78.92,2.92,1.733896,59.38,0.173088322465916,6.11,5.745233,94.03,0.362181387077653,4.47,3.648861,81.63,0.264967397747481,33.33,16.4,0.27,0,0.27,0.55,0.02,0,0,0.09,0.09,100,0.73,0.365,50,0.55,0.366685,66.67,0.032602252519265,0.55,0.00099,0.18,0.032602252519265,0.91,0.455,50,0.0539419087136929,FALSE,"Avant Centre",6.4644161803548,13,14,13,17,7,15,14,9,7,10,10,8,13,11,7,1,9,5,3,4,1,18,14,4,1,3,1,2,15,1,3,1,8,2,5,5,1,2,2,9,1,1,3,1,13,13,11,20,1,2,9,3,1,4,0,4,10,9,5,6,7,6,11,19,0,0,2,3,5,19,6,9,8,7,14,0,0,1,0,0
"2025/2026","National 1 - J13","I. Botella","Caen","CF",26,350000,"2026-06-30","France","France, Spain","droite","non",180,70,12,975,0.370153846153846,0.28,0.756442227763924,13.636,0,3.23,0.28,0,0.922635,1.48,0.4625,31.25,0.748129675810474,4.89,1.568712,32.08,0.92,0.368,40,0.74,1.61111111111111,4.15,0.92213,25,0.29,2.68,3.05,1.75619,57.58,0.18,1.38,0.09,0.09,0.09,0.74,1.15,21.7,18.09,12.460392,68.88,3.78,2.396898,63.41,0.208955223880597,3.97,3.508289,88.37,0.219458264234384,7.48,4.432648,59.26,0.413488114980652,35.71,17.3,1.29,0,0,0.55,0.02,0,0.09,0,0,0,1.75,1.1053,63.16,1.75,0.55265,31.58,0.0967385295743505,0.55,0.002035,0.37,0.0304035378662244,2.58,1.935,75,0.142620232172471,FALSE,"Avant Centre",6.56301063709977,18,16,9,13,7,16,16,9,17,8,5,1,9,8,6,3,9,10,15,6,18,15,8,1,9,1,2,2,7,8,14,5,19,7,0,0,5,2,2,2,2,2,6,3,6,5,3,14,5,3,1,17,2,7,4,4,1,9,5,6,18,2,4,4,3,3,8,10,7,3,16,9,10,11,14,3,3,12,7,1
